epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,87008.1,0.97749,0.58034,0.91653,0.58324,0.40342,0.42789,0.26904,1.08564,0.69408,0.9755,9.90318e-05,9.90318e-05,9.90318e-05
89,88047.5,0.97119,0.57818,0.91546,0.56955,0.40613,0.42625,0.26698,1.08612,0.69161,0.97527,9.19632e-05,9.19632e-05,9.19632e-05
90,89062.9,0.97157,0.57548,0.91697,0.61504,0.40276,0.43431,0.27173,1.08795,0.6896,0.97698,8.48946e-05,8.48946e-05,8.48946e-05
91,90062,0.9823,0.57694,0.91907,0.56413,0.37694,0.41472,0.25612,1.09349,0.69643,0.97949,7.7826e-05,7.7826e-05,7.7826e-05
92,91062.8,0.97091,0.56533,0.91179,0.53951,0.40454,0.41543,0.25902,1.09481,0.69588,0.97949,7.07574e-05,7.07574e-05,7.07574e-05
93,92054.6,0.96324,0.5593,0.91077,0.56667,0.38599,0.4128,0.25833,1.09246,0.69552,0.97757,6.36888e-05,6.36888e-05,6.36888e-05
94,93045.1,0.96355,0.56022,0.9086,0.5298,0.39369,0.41662,0.25727,1.09412,0.69456,0.97849,5.66202e-05,5.66202e-05,5.66202e-05
95,94023.7,0.95502,0.5541,0.90789,0.58637,0.38734,0.41586,0.25929,1.09091,0.69327,0.97806,4.95516e-05,4.95516e-05,4.95516e-05
96,95000,0.95436,0.55539,0.90754,0.55105,0.38713,0.41783,0.2608,1.08963,0.69169,0.97766,4.2483e-05,4.2483e-05,4.2483e-05
97,96397,0.9535,0.55413,0.90634,0.541,0.40007,0.42105,0.26427,1.09121,0.69226,0.9779,3.54144e-05,3.54144e-05,3.54144e-05
98,97701.4,0.94741,0.54849,0.90453,0.56596,0.39135,0.4228,0.26527,1.09094,0.69376,0.97698,2.83458e-05,2.83458e-05,2.83458e-05
99,98945.9,0.94785,0.5472,0.90524,0.5717,0.39259,0.4223,0.26515,1.09056,0.69308,0.97781,2.12772e-05,2.12772e-05,2.12772e-05
100,100560,0.94605,0.54762,0.90538,0.54478,0.40114,0.4219,0.26559,1.09129,0.69365,0.97774,1.42086e-05,1.42086e-05,1.42086e-05
