epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,34594,1.33543,1.00354,1.13597,0.49754,0.27676,0.28226,0.16053,1.49299,1.15605,1.18085,7.6622e-05,7.6622e-05,7.6622e-05
86,35082.2,1.34255,1.00174,1.13467,0.48132,0.28202,0.28709,0.16525,1.49339,1.15444,1.18137,7.21175e-05,7.21175e-05,7.21175e-05
87,35569.5,1.33734,1.00153,1.13785,0.49828,0.27681,0.28225,0.16205,1.49211,1.15492,1.18069,6.7613e-05,6.7613e-05,6.7613e-05
88,36057.5,1.33637,0.99585,1.13282,0.51124,0.26944,0.28759,0.16229,1.49656,1.15721,1.18432,6.31085e-05,6.31085e-05,6.31085e-05
89,36544.7,1.33202,0.99345,1.13292,0.51721,0.26626,0.2916,0.16611,1.49188,1.154,1.18358,5.8604e-05,5.8604e-05,5.8604e-05
90,37033.9,1.33052,0.99151,1.12904,0.49412,0.27383,0.28769,0.16248,1.49134,1.15319,1.18042,5.40995e-05,5.40995e-05,5.40995e-05
91,37500.5,1.3859,1.03021,1.15239,0.46898,0.27846,0.28044,0.15741,1.50617,1.17986,1.19076,4.9595e-05,4.9595e-05,4.9595e-05
92,37966.7,1.36567,1.00057,1.13954,0.40942,0.29872,0.28217,0.15948,1.50329,1.17062,1.18875,4.50905e-05,4.50905e-05,4.50905e-05
93,38433,1.36329,0.9945,1.13849,0.46241,0.28351,0.28168,0.15933,1.50268,1.16777,1.18738,4.0586e-05,4.0586e-05,4.0586e-05
94,38899.6,1.3587,0.9883,1.13561,0.48119,0.28194,0.28643,0.16383,1.50043,1.1647,1.18752,3.60815e-05,3.60815e-05,3.60815e-05
95,39366.1,1.35174,0.98246,1.13072,0.44312,0.28749,0.2853,0.16187,1.50209,1.16501,1.18899,3.1577e-05,3.1577e-05,3.1577e-05
96,39833,1.34989,0.97657,1.1315,0.47743,0.28527,0.28345,0.16135,1.49943,1.16422,1.18744,2.70725e-05,2.70725e-05,2.70725e-05
97,40300.1,1.35478,0.97971,1.13047,0.42535,0.2969,0.28307,0.16044,1.50187,1.16309,1.18813,2.2568e-05,2.2568e-05,2.2568e-05
98,40766.8,1.34473,0.97283,1.12827,0.48316,0.28221,0.28498,0.16133,1.50079,1.16198,1.18799,1.80635e-05,1.80635e-05,1.80635e-05
99,41233.4,1.34786,0.97389,1.12869,0.43531,0.29428,0.28407,0.16142,1.5005,1.16242,1.18796,1.3559e-05,1.3559e-05,1.3559e-05
100,41700.9,1.34508,0.96784,1.12606,0.4438,0.29822,0.285,0.16215,1.50037,1.16117,1.1882,9.0545e-06,9.0545e-06,9.0545e-06
